phrase,image,category
between the devil and the deep blue sea,6119891508912946138434006130365322916562792801547552247768215552573143899355,Figurative+Literal
high and dry,104756387099123976100256126696386331649568008706112290775150804412017541306740,Figurative
to a T,98246870149148607404160838026374154055080562832686757892328976087765252966810,Figurative
all dressed up and nowhere to go,49047137224902483021424059954893992925326407535663971906341421818972286600176,Literal
hate someone's guts,107928476409736441867023570943100278369533547043011858557268077149903373577978,Figurative
get the show on the road,11266929741107810097446174482640426003958005094756211685861160744152377660382,Figurative
slap on the wrist,33047638397102056016335546823479587616270603675966545335790706694832890359417,Figurative+Literal
in the driver's seat,19408315378220715132041452552122795981129965141281447776536207293758561419583,Literal
catch someone's eye,63480392926590102903488034845407653038215712576316516189029280575356590415868,Partial Literal
put paid to,1308351771910941657276685634108956355781566404255744813049869983823514262501,Figurative
wet behind the ears,34401960782960126444612040688750512799028590184063222039431235508680950218472,Figurative+Literal
dog tired,64289881993468133665017008037792132207115000155111669014960985762449242557430,Figurative+Literal
at a loss for words,83311092944763990230474921497722659777016035158967992501550966071674758809744,Figurative
twist the knife,16790376738872980883950683176152749067354145185845025823926678302249071629179,Literal
get stuck in,102395836834406212604115156054113155205056729279499306695303161407738154520653,Literal
save someone's skin,109610969958176516049459000346620803519362408332747882983540874607567214750419,Figurative
under lock and key,70851934700551993050799909980463024282400246730042953782675520247587334290860,Figurative
under lock and key,82067884854788259433697144439430527627305314058586007704541091200446597478728,Figurative
birds of a feather,81503378845290229177649210281345105191742840312109884550728742274020550570541,Figurative
cap in hand,5327153294323649602858307299482391537257081071538868205549700104231016022550,Literal
hold your horses,54659774576687435633741301343669283146703813791935777129139744634094540744994,Figurative
press the flesh,62092803132089704873938837245420343459286101330269599377122164815492285119162,Figurative+Literal
off the wall,4098816129877551572789042721039074683552456656588539512854404851089271081554,Figurative
see the light of day,1975699691293585055486420618613324021239755565046948665843862740596032471039,Figurative
green with envy,8910319043451729133559702385094313218579665945818464968073775808165702079586,Figurative
name names,69138252583595368179880561003097590174961044266604224628835853183336147953230,Figurative
take the wind out of someone's sails,40531029161046584617796625646291045537917132622685473406348251658555644374004,Figurative
back to the drawing board,114811767778512288405993216513833952112174005914530875863585097370140263055660,Partial Literal
fill someone's shoes,58739617754747548354899237293960297250380336800602923781912658176784903061507,Partial Literal
have a tiger by the tail,74452251297222739858410226894482766100616134564919751649508571302068459486161,Figurative+Literal
see red,111823813692343231209573989936360487391838724870615347678574812182162820809602,Literal
press the panic button,105194463515279909864898246516624009063245432704764925202996595695172931914123,Literal
dressed to kill,57679656645089664477605491587418798334673515433103139913940766458665902834986,Figurative
hard as nails,56239276867869647654561785547346918442062218395118246668088856497651658151080,Figurative
hit the ceiling,15585134437114562625675387267968437839146382876179196354405457573929100968081,Figurative
come clean,108249681577830716462247851930282474191829806638501217921826423557792653297367,Figurative
cross swords,100649437544147772714585972002097424246410595126070498955445908074565677362916,Figurative
bite someone's head off,89594143330947132960246155487291283598319100948063194241576281857997714733319,Figurative+Literal
seeing is believing,41416326392124302022504505095338675019417547853326479416438410814170573126672,Figurative
pick holes,36898878001293268651670595901304556397265314839776869759376452791738575648132,Partial Literal
have the hots for,106124930879473331783465645274503270233142672938610178574564868623244533555622,Figurative
all the rage,44437042698462145365545183913144927500538834224393936442978852928142406603130,Figurative
go with the flow,115243748712725083803067041800148449023908639143191369566444383792639746714334,Literal
every nook and cranny,103384641687611051781321284872949934730510863182872810610338900537805390079679,Figurative+Literal
on the trot,27082744590965407845346474257986816032764829130955538573973749267374795700273,Figurative
toe the line,51816170860596084684246767184086072772337140760214905203834547999360673613790,Figurative
out on a limb,40097823375337023025262878612669089989702975912947619935989727224850190427749,Figurative+Literal
put two and two together,37598251352337148380367984715342165582604400384958047261061432788606803774317,Figurative
add fuel to the fire,81416777364542921284471484608680912846683166012774185050926977185694761417326,Figurative
bear in mind,29347029075046335846490592473438578547946033822496570784413000193839351661038,Figurative
under lock and key,26018351743368385160133345754425329689029541750748668893511679956261038320043,Figurative
from the horse's mouth,45926480753064899044764714642748633555743966589154468575686364249533865152851,Literal
hit the jackpot,78490828050291223739093602444431905566589671016359031962654849464233819357737,Literal
push the envelope,66440187357595753739099243769789976232160069621908358748335227123911119417773,Figurative
cut loose,97373592442933176373308370548628371191930529539458321401114329138186125765311,Literal
above board,15081460387158716609820426920282759852763785673548923785276583157532886192301,Literal
bite someone's head off,92914353945494136335293019088698775193938102361872086445470578267662166671639,Figurative
dyed in the wool,77191424977468741087953905292101403262272993403723913210532132432393014691269,Figurative
pound the pavement,77035634255206027533234776042464009748544725979292747198774615274475303497263,Figurative
kiss and make up,70402849691376412142464314343924614745037613557467906075561891817123704931280,Figurative
fight tooth and nail,106953463038276887523607570600052378232076956382869031513553811170817052427180,Partial Literal
light at the end of the tunnel,43718088979960810262170485698595556500833230150836240681391309856961703463579,Literal
get the show on the road,115184647675502698879777792818709105928687363130720454776429297509736269159375,Figurative
catch the sun,94978279751389102130347159517827640034335665904176546175998515090162048427331,Figurative
break the ice,19103970821192626646528477769086378490427388423636775579365937358392724118174,Figurative
go to ground,23013421417842945679198000399054796677991591135442685391873789261385776182153,Literal
foam at the mouth,107802454143247282046412316473164182267436507713333983674137240985084629672755,Partial Literal
on the back burner,27803115836777622144565764048658346753128036647781523865381690447041624044057,Literal
fit the bill,6201721610587996805021550325599501656168970132252209622197213821810677226855,Figurative
take liberties,114177586503880872035577662946814047994246919281161368234199320106227305124311,Figurative
raise the roof,21075000054291453572502554504139529187296007718050939845879839209454234204313,Literal
see red,94278588370074706593035314585485325346143560904785684780092962973269924156025,Figurative+Literal
put down roots,63306631399331235397967899765471236849405954131834387874989155454446338691154,Figurative+Literal
sign on the dotted line,56242913629313478982271260380770076712735560156263640020506314852451442226301,Figurative+Literal
kill the fatted calf,112731675247186539722178069143391266013540621539055324977940728973467261132219,Partial Literal
hit the road,105073813537985500083713534697390438001877135723222803262136476060668557972283,Figurative
take a dive,4643250831866598118186058479419398364733248706308510237979737350098629103364,Literal
blow the lid off,106029342865630898365635135264389893494145698904446863093755163242596076894678,Figurative+Literal
on paper,42619554960125608185291626848637415114581923794058786552408385891182248218022,Literal
straight from the shoulder,112083599585044844884882861235443863938813866160443300101545028626093706533025,Figurative+Literal
armed to the teeth,107295152942119965288257361104953204845790985676601269529431287763977554146820,Figurative
under the wire,35612920435910445060165437929762082183362077620192744308652281572848897552308,Figurative
let the cat out of the bag,55122912145564843939653933074885760869641819930739996655681010784401453548069,Figurative
jack of all trades,26949671823508099748658310221422505988448427958040813911206147501038230540917,Partial Literal
larger than life,28027833563799480040112465635771538783263745951391770499413083541098498855901,Figurative
go downhill,5992577663992956781274318107267107789536052195757018059996887896051539182874,Figurative
larger than life,104895449461920171406681942914258513239640945393460203641130325602798566078305,Figurative
bell the cat,13125870687005128542749596664360814222227879008458660648084938817808804688877,Figurative
on the back burner,111694537949341040354126196143205602912197036041169874790179536536430143251893,Literal
on the ropes,47736125946551640474953308455878898556045914017010472446975956290250488934872,Figurative
on top of the world,90841244187705623107401129130130716335846774396969413578044558346743512361130,Figurative
be left holding the baby,59297794236675512275348045866508821934411179162331366027074631224798266998953,Literal
within an ace of,81991649881537857255328996921639958150121440655990729097978553754493181025535,Figurative
all bets are off,65565301659637142675506910962409230045763939128759091453417340012152784554957,Figurative
in the dock,203276800752835226041037131262443912608756518404811893361858963037507117814,Figurative
high and mighty,97984418358847828624869265619280095886912833239662184079043028315409839655479,Figurative+Literal
tongue in cheek,81435665485814584615781603435535556457670061294120068505365662845546324998859,Literal
bright young thing,24096412645901425245419475841616677815800923432102673556573708813744865874211,Figurative+Literal
smoke like a chimney,106207487412070770537874335869394923090683309823982885709640206589855153559326,Figurative+Literal
hit the ceiling,35022640887387416484063174198190928030311941152601550939753590979182670285234,Figurative
on the ball,45774830722224480908399602422124988754614429474632527601822686039780703519164,Figurative
burn rubber,10889508312694435861528573334311531916092670570785410822273418100036705700956,Figurative+Literal
out of sight,545738302285225425940613924216059225878854412897984414839841551968775504245,Figurative
in two shakes,59224966474124782029704051643109985127272510936643378108367063820849396262913,Figurative
king of beasts,94716945043642271903247895567918639976189046709655451869583889965973219270641,Figurative+Literal
light at the end of the tunnel,76329686391242092705790433601745803560208384386592414732136827462739215145315,Literal
hack it,23841609366833508869682121829399720164982346909040894527113637332871154563434,Figurative
come unstuck,95008777162900289845422456132483984131444590074037079851121487072325329206676,Figurative
king of beasts,96204042433750360298027275010944357230309680196931992684851225334580165230599,Figurative
keep tabs on,79005292852198307009732805572770384612043240173532043571248246208671342011201,Figurative
fly the coop,97526422401108301142324013585602424448348057051979634459412793844949547895337,Figurative+Literal
do me a favour,84594669622844994712806909144390375230157525189380126957420292893629967471358,Figurative
give someone the eye,74534714021403229060297417294423647519745460923068191767234800669481636112290,Figurative+Literal
off the wall,113220289389040916255213933005014449445079832539898849462092448832225212215940,Partial Literal
get down to brass tacks,89963501194124893850432999911071647675346059701696512093546480160560927118342,Literal
money for jam,11873512312114318909413097384668518620955478052787345004919398676815509412746,Partial Literal
throw a curve,42801605186611797855455656861226964745650130550370939876342644365237605021890,Literal
batten down the hatches,27492251869693442873965336599413491347898052525161806048102364669166427991734,Partial Literal
hit the road,49374559542697479087112438745976076889162964177704595777205785257769518491816,Partial Literal
in two shakes,56375755216441454646651225141363220342133052357779651347608644186514166564064,Figurative
change hands,65234589685613475948919379511512394243846901871154894304133373361774190653303,Partial Literal
straight from the shoulder,18050741745815931116246280188390886078031348161541848893905678688168613432155,Figurative
par for the course,47187173001176430172418625132726680894988354291723920819011233602678423615335,Figurative
go bananas,114390119022114562442588076351849465150020604215993178113728495315547515702688,Figurative
ride roughshod over,108969424934101054070041452316047037658630244984263174622622864885463466902882,Partial Literal
hair of the dog,17764132808729346547077605164429928226181777711063868122175259864527045386977,Figurative
chew the cud,78088770437610160186703561666341129177094698635871479542863506074933535433763,Figurative
sleep rough,90048070421318668256501405839511152587739980602199382989625291918055921656811,Figurative
all over the place,110891231122916162315246885099001434084810199299504332010893108044477922656838,Figurative
on the ball,113113602498319117208570893825571404989971099749134915516700014496137197090486,Figurative
cut the mustard,38779355892272227934905964990553552748191515247428157712947922482696619134409,Literal
on the button,58153185942578084889548902385531864453886447743509519111582337153802030179650,Partial Literal
stand up and be counted,79653179915427648188923427907619135987071349450583242188477067410158718496151,Figurative
move the goalposts,71931382722167922962197608643981513884262854416852598952438542771445286629602,Literal
keep on trucking,80796403845781678676990229784407705155290823272621967651301579168570154538734,Figurative
show a leg,55805385255488188444568940530955937033732904460229714167653260740326226743120,Literal
hit the road,111283958015031036792222154514062493105818928538419039325320789015851909322346,Figurative
split the difference,60272006684765762339454152839772828055687952653715935055142175738576847543284,Figurative
mutton dressed as lamb,79196135092321519920128330033702338791941323708408912849972402763563276497250,Figurative
out of the blue,81753020867469266475348146950621174574281037831153420023490707053941996164793,Literal
on the ropes,45464527738963788348211278690606770506567347269530452802372756335437571308162,Figurative
save someone's skin,29428363505692151534082397298754314053459745219751424124095681829865412672860,Partial Literal
the bee's knees,57035957179800016739256621536330848986555562558340703091568886286776554612875,Literal
chew the cud,19473834901648799807610885294620115696382626633255231697976442840106648219763,Figurative
horses for courses,3065501302770468288037997834307719741621446370934184060273729478731052484150,Figurative
lock horns,27870902355720910872542368625775018198603970188119996826028236292127824594498,Figurative+Literal
straight from the shoulder,99638890974587915906530298388041321686422368269601629440320629868740796638237,Partial Literal
add fuel to the fire,44293657554674626266891731377458239207324624534843381495896732386297327274753,Partial Literal
hold your own,80016994862906275683946369851438189551539589395677479178923102302679808919091,Figurative
cry foul,57281982026591978187549561719647825078071958685644833204779288889371179608456,Figurative+Literal
jockey for position,30754145991132996075918153933215125229599323857957212757167660586315274662601,Figurative+Literal
take up the gauntlet,99158440016741235336255031101741883945336022573906183774119650969395766012754,Literal
hit the skids,21089024076046238586541460905867144894204117984787417986429220176639033079606,Figurative
two a penny,5909746755641496365039784275824587426126064965567903745472216541044810253799,Figurative
catch someone's eye,23745910795334509821671627064386500154837325420420148019689965882813316998213,Figurative
get the boot,79487728969280209690818517513065787129760330598777249557547790809446701365108,Partial Literal
bite the big one,107486010830268872197121450788208460360429508238935619461472120795848502357191,Figurative
dog tired,91041924527743296475882765987952317023095137176839480971972938247401476739448,Figurative+Literal
out of pocket,86103445372619031713375467259824427178370019232354564358365705856366174372875,Figurative
throw a curve,95037268063682971090065317315496663579633521978910869776218687526112055246653,Figurative
make head or tail of,14625375792349731455735770308984543840133354634247479968326725191652988696356,Figurative
chew the fat,4868125126679993926063550021847955515018442455299706106530887601082947165533,Figurative
down the road,63169988453977454260122392080504414616800499890020653991757266773170210363990,Literal
place in the sun,31432331144890402476099507468500832482334364609595894357185471586788131902560,Literal
not cricket,73266731600221619278268431816627430098379193722104613388234831216321946090406,Figurative
off the wall,89891818228400626189034561378968206688589770888911185664795036180946616246088,Figurative
shut the door on,86804550672050010551356786206376917335429485546746294244496047617277532046669,Literal
catch the sun,33295000810244944449287089571599618252013149287913341282226448440322883652832,Literal
keep tabs on,80130629071182450149526415154140149300350263400481324148478131772285073774273,Figurative
give someone the eye,45913592616782251047488728329959887527098277277870084703664273793352940407796,Partial Literal
make ends meet,110465119938015238883277682265407611964000199581461955593414702369729649665832,Figurative
on top of the world,37471058513849585262900809927796199978834103605332772631095637541419893840455,Figurative
go bananas,91030182611739094857150255452765755253244159970996977712132506048950029695959,Figurative
bear in mind,27034278749147977492299655441254377079840530079232923346078683814856968215214,Figurative
in the black,31666538385285963911695715545357480999637948184935415569815511559081983817825,Figurative
dressed to kill,42144836918898408401321966936128571078898107476253619223632251102191212870376,Figurative
hand in glove,35821087102745614723399630482906978435364268608807855232478025796034307883681,Literal
out and about,74822078176086646797441405336064999086267666214526576150427727122460757468957,Figurative
foam at the mouth,33388593596727033789465547298510284794951083372915086227785502212203998385551,Figurative+Literal
green with envy,60673273275796730299528007213670440329710114506119604755979782956468339138168,Figurative
off the wall,104140458931518176042131480037736752066352995075424083654824248955909962574269,Figurative
keep tabs on,28279420718938385928938305079391349095295655521629849315829727527727261320125,Figurative
turn a blind eye,60600261274076405488823944796272585010263186332030645165096708675772282860895,Figurative
hit someone for six,6660669431412037386848851501879541745183456063856361057935981767901810934083,Figurative
make head or tail of,428897376589732710474636979589172896988632721054608162709998036914867705623,Literal
cut a rug,16598081007572953457809992745158395704922713199036822164259717598846370539481,Literal
mend fences,39916274184458215357628711525066089972711433104966858916308416255858296572544,Partial Literal
on thin ice,28629246240678324896064924406418020594508247223518285259945601680040806853999,Figurative
work to rule,70849340550486581186235805299171602018389182488115300963435431645654007396071,Figurative
brass monkey,60044125091489851684000226925179963288652293735763658040318267977956192818591,Literal
burst someone's bubble,64606154286438881371973235887944771465978879245604136946157373553231572115093,Literal
armed to the teeth,73045522468020259465506887827956931569447625178624476842885329028761738536205,Figurative
count sheep,37097018289859595581691159984486807483658897577462785189836111070325639478515,Partial Literal
take liberties,88363429041414804274645312745984700970278178199398144147171406334702273129622,Figurative
with open arms,22261813618777653299251944112774482557030286206365039455847294901479734866504,Figurative+Literal
tread water,88462933875077752984861041758574184734980828395144536492206876632563537977594,Figurative+Literal
ride roughshod over,20694921268772464152207213416316132794674713065685019444527353450229822713751,Literal
grease someone's palm,82278749823815464667523876397396668546953993859670139208334486781485905452903,Figurative+Literal
ahead of the curve,44583484863794052674275612325109283870852335165054879176108674126944785878145,Partial Literal
word of mouth,35188635587789548360172204482865734417676744077322819021532632504137482022275,Figurative+Literal
on edge,69619049873181590698955869122758744734719297029435358515423349815814965115303,Figurative
dog in the manger,90167519301488676272856595905793927248553293467899741760399014981062863613362,Literal
hand in glove,16049323241870219576002867777085126484535147170619322356617229172598938756540,Literal
crystal clear,35833651619503675822379786659513326862947881229028551436228176186939505221551,Figurative
make ends meet,8462540741108258390634527691521936978054062210472280681016949875958782084336,Figurative
in the swim,85938565479000479932231502055839091627445391867511782585463370992542109634626,Figurative
fit the bill,108321372507431840364025254020809282456667999929808623006565710326677937628065,Figurative
full tilt,51622553802711585251776217391304090488501524546934655504671862021224452720505,Figurative
rub someone the wrong way,36381596639387287161446847298408408174934033235859379408242288520736528544943,Figurative+Literal
up against it,10883163975811242696661673047545066067928678877495094269326073436125322733350,Figurative
rub shoulders,99729095844511694163958376475219495080016313015101031236766402177128850440701,Figurative+Literal
with a will,35883642739672996098659591842210221879080549978600005263667257762846736006669,Figurative
slippery slope,44223249965072136051807696295723939667454394194342727180838014572508978517823,Literal
take the fifth,115709886811284833190869323702847677815437476488718040918869392179624820971675,Figurative
rhyme or reason,16077876746407046457204408234894795922077557883244577146820070424209540386532,Figurative
tired and emotional,65200014397206385460929560632122881980225955512573445115395469022033481847774,Figurative+Literal
sail close to the wind,111267163678230844216219073081064314412862327719991370908107892955034985622943,Partial Literal
shrinking violet,87315768726816295775476393768963223969076155950539843720443530424667080341855,Partial Literal
get down to brass tacks,82167150539845668296137447451804838926177414302619511090077898969523236362436,Figurative
par for the course,38718822669865488542124726725506615662856949775801142062837441229850634414605,Partial Literal
armed to the teeth,68445782605489683475416325716940014003520503521864853354678672617717386251933,Figurative
free rein,16182330147379297887141701222195823403829058393501134661621879302611924096617,Literal
fun and games,87974458416836591198566921036169733462982837190118799555710935424908552397619,Figurative+Literal
night and day,75837974151970335925957143790467482595054221572721341676593305154662139485574,Figurative+Literal
kick up your heels,67989686295777839154832616131476814398625653869732181593434059875351113990566,Figurative+Literal
meet your maker,62350955543208260079379525655714639620476116124359345052865512697375932455220,Figurative
at the drop of a hat,78067852795012151848947473615114485063938359135731950882773794366863295273133,Literal
take root,76518452125631237717692443375622848944468362052282249662565942703051408942089,Partial Literal
chew the cud,54483451518671684272843872665530978708149891513645313637135587325829977574044,Figurative
banana republic,96503905837153698603658429466635305802367579988504730840934490456151457998974,Partial Literal
take liberties,41561491940498014499888400569916750968211292591300513158459559321187766489764,Figurative
go bananas,66260814876956249697845764334642681347814007150424061554954115673927927014377,Figurative
smoke like a chimney,32472435645898384359981955589732623167462338936546460016651585246154543225240,Figurative+Literal
bite the big one,58134956895596932686102526694625198171611768786352679969348010884990330998799,Figurative
under fire,30123403241123192734111915026824220315560020719182336765348679881675862506673,Figurative
throw your hat in the ring,39739200759112290255878925337373664318474727541924338027281020510139905693864,Literal
make ends meet,66302512329138224626180062122808694365081453204396120605893201367412315480030,Figurative+Literal
beat the clock,26679589037488911262004406685061722468298278913389699280811509479386220440161,Figurative
turn up trumps,19581104203076369671982131694983308597713502949203107640660359585085609911597,Literal
on the skids,93053703685888438960967551495384938129658755925139513302347894705846324765467,Figurative
turn tail,78536682855728607817536003853985531599114836377996783643054586197581067346536,Figurative
off the hook,76379123660229396541866847659198796454696541449089325601883656590002680409961,Figurative+Literal
throw someone to the wolves,93018950213150662489829992259422027078685270949668667871846078269760948175417,Figurative
free rein,23119294989186883498258623870288667589242154745875687877134966366545282512128,Figurative
on the skids,28424994348177893592848459131257740475438478911623533031821632670124755433114,Figurative
make a monkey of someone,106493257609706603328434245946692359869125541614540614123652221020867200754414,Partial Literal
pump iron,112933811031483101951876528518666571077170799264657035977322342024859860937226,Figurative+Literal
in someone's pocket,87007475250720823303338383336730655653317531181667946500701053032219804339228,Literal
in the wink of an eye,2956304357429103391925145144047258600939328611831000263822965853607928540693,Literal
on the money,110641894080935952922092417607164477707783813465490627015942125207705761646002,Figurative
seize the day,23114416288089789019487691263514284859943784651124587150656449295835282923948,Figurative
press the flesh,62918604408457301209417310513569411614316324016027205407968615958760227941423,Figurative+Literal
hold the line,51208351358634712828926401604461583838580295932073016833619961001418928835933,Figurative+Literal
rub shoulders,97339233091247619395882256876519248674595960198244165583579629430856161155314,Figurative+Literal
bite the big one,21313556750827562813421690906731919970692617868884529247543148099299056228885,Literal
bark up the wrong tree,91221027330278950539526331451007442948919985192789109509224850962736172932620,Figurative
no dice,23148533614583220653774691580933613637045425859848744353245722059920475716440,Literal
pour oil on troubled waters,101270840755165540759310526531723833365053957682315681144158885811005028962891,Partial Literal
hack it,38504179767295354244595985977140921857710868577996890141617929614267803121998,Figurative
all over the place,86948765896248898741351880647330253600989176220544971016571279901801633634121,Figurative
hit the hay,96112521485767969762784306645605632831767063779900619075278690471794114988144,Literal
in the fast lane,94569064687636991761829255295875368778397170943210715550922961873092848068541,Figurative+Literal
all the rage,2688045914015916099075425556110400217759556510330986853619706146650775780113,Figurative
fly the coop,12526401669435057056857591917514084528583471641025561924158906842783296263874,Figurative
neck of the woods,72604560419306855955781857745650625388269729216825697038783410909897846500027,Literal
bundle of joy,66551881054834718007863735662413303310558298998832524809062705000340379223583,Figurative+Literal
raise the roof,44425465439145893005972376456702531241427886677201288074794771145562976167611,Figurative
brass neck,27583413492831409897362102814328670966462868459768089061539058349544028385056,Figurative+Literal
steal someone's thunder,64793735484029926692081903032989524859145532397923604138222493572045645628161,Literal
turn someone's head,89711054771402918024639741280803676515510235454247964473481166295046384091643,Literal
call someone's bluff,114812014815451721067847026146102474035300685924412204621852213560052648455394,Figurative
blaze a trail,22141617141688838633427551939362009494622316000771185518526346746447198650319,Figurative
have an eye for,99459648764315630088463145731612246317338107719866458602390530661377078314522,Partial Literal
full tilt,57082633729748398124310456613708273021052120376695567352593573769442434533761,Figurative
banana republic,74371080982175839847670255130532439508824045737937861120858707387093979576837,Figurative
cost the earth,104129167639517886189634150296368323013493198904879297989690220177357577805877,Figurative
pump iron,71989297558508899828281797359656549005123901194007465896782173431041509254732,Figurative+Literal
dead wood,13950045736139560872966749457594423237398407435664596782968874149025482956918,Literal
all over the place,46180317506427720732236501765296544993744658974617264986551171793207434572973,Figurative
in the fast lane,57936222269216572972713421393180854635759209650913551719279575740219490378698,Literal
beard the lion in his den,65073104740312306876455150098722902864754928090444990115487441952620455905457,Figurative
make ends meet,91818508616388728357541364637264219863678560534811929320427850463776558416001,Literal
ahead of the game,60928120499620345545629122944076571035889944758729066250727451037673636371106,Figurative
part company,8404842088050618080459389697575747299546437561358238685859061382300942064583,Figurative
keep a lid on,37397510048263799370441400100838983200747499002213569908522652755029382213107,Figurative
bear in mind,95136072705056169356794830497376738679827196182836066118004884239271650499826,Figurative
tell tales out of school,78638316691730089831731020126044005552180062374992512749509619899452130449501,Figurative
take up the gauntlet,49495505137876331895343055084726935359850853963282323817169272044778177588446,Figurative
give someone the eye,18591522242407021442963463304852433886014675244922227214781163989199658839006,Figurative+Literal
rain cats and dogs,39000240107484705993592172244830927298807974732316705206300314028394640893629,Figurative+Literal
cry foul,90294103497327917828688146790278677704827171779789147298976532102596334423107,Figurative
bite your tongue,42051781911274715497661845892365735594208656181441465438558367227077955706193,Literal
on the ball,29391437102798701026967389922235505055416523537164353667639148508020856654552,Figurative
sitting pretty,50891265616436169696764727045810475624376005748659785731888817676158100461139,Figurative
catch the sun,14186037009317444596421629559710274525914476063511206705306695331062497455076,Figurative
sick as a parrot,91373570027713394095504423302036261760346130803186567014879028701250019005492,Figurative+Literal
kiss ass,9849809107640246246468215230100666164766200736536862413726932689613573532990,Figurative
stand up and be counted,29639026231155167495227572456284005194610318652778121448416657607853879140072,Figurative
throw a curve,63412095491427909746358300336969418904815273969009557983009338326217167382421,Literal
tongue in cheek,75337768680300148353036237042599909239110654661708330523581184543590489752161,Partial Literal
take a hike,66109145816040790738972406678859576086183783941923188072402270094171041930530,Figurative+Literal
on the warpath,33526030456720294024904884198602668517524882392039926272684992603582491347609,Figurative+Literal
all over the place,88910933564805765382475536770514639951181582635323955089600480167037682770802,Figurative
hit the ground running,67836614623258793320309480572339046749838954828929572244495617087186009307807,Literal
off the shelf,61675890425756031126744040676146128156667683697235900372075189885235783014708,Literal
in the driver's seat,5282075290000825243954996053424397668344517485506732634751488015297254329931,Literal
jack of all trades,75726922469839058123775249065149123045106772634048883805973538191579346394892,Figurative
see the elephant,70913232414371011305909547100572939466528172950288517491045252205581873009239,Literal
blow off steam,91671864028035906487291081762834518734833092554493363131856825741062786500312,Literal
make a move,109000158157974488802447409939553883939068513890441287729409732514035367030611,Figurative
