phrase,image,category
ahead of the curve,44583484863794052674275612325109283870852335165054879176108674126944785878145,Partial Literal
beard the lion in his den,106050943380893094111418145453388979157388375064714061041849677957794449843973,Figurative+Literal
slippery slope,6850553274624170858966457272006084821639288515069032125343716466364748231950,Figurative
make a monkey of someone,91731872253822120741667839184395471789576829627910568712856037658891669107675,Random
pop the question,35290126388605974889200907427015460122484813318405153739246291723031446161037,Figurative
cross swords,73511479279428570497226120206682660641550356928840077022429393778708349147642,Random
hold the ring,70779594997962559240796539463760065078532102243756266446475787097492851266322,Literal
money for jam,77588564302300822435506596811837497590769745898347227504021381578604932223290,Partial Literal
cap in hand,74929206457804514953744051946249263994532579527853443539010252091022860642603,Figurative
on the trot,78178500706318439522609845538300728191871346807603403957393109718480343687771,Figurative
kiss ass,9849809107640246246468215230100666164766200736536862413726932689613573532990,Figurative
foam at the mouth,52043731405463959925780754986203715820536754357157241559010469144536317659454,Literal
batten down the hatches,107676731707416766268657589421966026525694725835937602555666108760727056545661,Random
raise the roof,1067298485068875444252598187908989518734191582142927781689850111621118242664,Figurative
behind bars,1202404838946781953007360629871984623129107333532580398125926946625115091601,Figurative+Literal
have a tiger by the tail,62467406812428869014763880295490955216870923915420413076482030634986720222114,Random
come rain or shine,39333055504157174467579441688634095748760864543305603049379547111896767196850,Random
catch the sun,80794428161035290284697718231758282239373001513050210784414913313833565505304,Figurative
in the driver's seat,23442371240571470394437440181724110277253811313358165142109003477199906212119,Literal
in the black,30521765106578813630936566889003721017148438601874774997962500526103134217339,Figurative
play for keeps,95666069177599577476067752655852584558241317184440937053281296800587961950040,Figurative+Literal
turn a blind eye,34045728830221689489697151356095214565270935296326508092317737287687697570142,Figurative+Literal
put down roots,14782209603278644263886889951673403204108567003442274187896212141612496954649,Figurative
many moons ago,61339307288640633629698279951001160529532964836185013217187251140089275643494,Random
ring off the hook,6338777370082851498897831208234755961422848304249371260900886361752212069542,Partial Literal
see the light,3074019854812537484263512759304562763789656589495775184431071128420088556995,Random
touch wood,103100386511750519882690117726435580587424013191002138386889210480843800414052,Partial Literal
let the cat out of the bag,55122912145564843939653933074885760869641819930739996655681010784401453548069,Figurative
slow burn,22359212116460590922679901162913294215090902851072543331741655234453198887487,Random
push the envelope,49901653599239450245164256198963762762469023372309252440236224766027836721525,Figurative
high and dry,27340738235618930045512389788758543783702962257989674359031931376001674788489,Figurative+Literal
add fuel to the fire,103552490440855523690295148957052937848799040466129522535279893687030567831127,Literal
blow off steam,106024282773307542737295876912595108796158581270473373953899942114036085533416,Figurative
hold your horses,54659774576687435633741301343669283146703813791935777129139744634094540744994,Figurative
bite your tongue,76020434079222794257079155685178825439394434631464919621785056884401738535540,Literal
under the wire,54984062199088380555798081941755956556891941372242490581307259309159432138233,Figurative
water under the bridge,107400800800801958166966926327687053300561783609161928237276517755029251936859,Random
think twice,39583204117679918014854455306701591540229003012480726279122068875798920689802,Random
peaches and cream,16375385411989620976961510770318168223009022515194856359493588840032451978260,Random
smell a rat,11002390639445807889657781710801128077388880469725634013284481420252707922073,Partial Literal
get the show on the road,99051535945408682126447654550052375452336924166392136573346181986017993582384,Figurative
look the other way,75172504269977938131647041741695708594968893806881952669013871167670527009004,Figurative
toe the line,27035212969733570091547730883579491443616158702467222026641015443490150470939,Random
kiss and make up,114733772837163382517050794255286050564302151211122055196658531773335053585531,Random
set eyes on,25517716440603004103092290784209856566907173883695489853690729998988299885974,Figurative+Literal
hang by a thread,106972419912881962119447413597957527227722431684007409923387125224412954000648,Figurative+Literal
shoot the bull,50251162115857278151770769972545872037117037002402137226863782537298733105419,Random
follow suit,95608979380810765047566916471356425378889342609761262195073605946726955987601,Literal
hang by a thread,25384562893336136525680724397130056073124274074569871865056201988219260102785,Figurative
one of those things,29867602945931076449159416911539838974938735073519277337526219898111320120154,Random
wear the trousers,4102900502241585893162498358919993931709981652427066207105434949329547152396,Literal
throw the book at,20430562256100955999519812676739001469156346566690220553532855730623526921756,Random
have the hots for,34260227315881716616390702686915424387783648294613600919108721547828283488359,Figurative
on the money,108692885176035049561433815168226488974245103099208831909468088571892976987564,Figurative
put down roots,65997769106703923636739690214615144216772140730768450387505663671087326884097,Random
shoot from the hip,26267931075571402104628756227357049886402105601264310664854040390924074069114,Random
pull strings,57945273065158610265426186914529869171074476294637619774582384750683766332674,Figurative+Literal
tread water,89125350277144064751639889222063903137491087254727841295187930312488160492361,Random
above board,15081460387158716609820426920282759852763785673548923785276583157532886192301,Literal
in no uncertain terms,703063141266381203380776389606575005294348437092936743554777633086189696407,Random
pull up stakes,19631008008986875894143641389555837128706318632010333757321794289567875325190,Random
have the hots for,23865760394525414073317691535048873380061064673006867637117044978648005157508,Figurative
all over the shop,30908920048411296581650768541063548270522436483645700082301374144988922191488,Random
hit the hay,32295931883826979319080475172266568226801901311930621349231052964987218338113,Random
beat swords into ploughshares,88861253030593933927476275362258309082336096618149321944792218032163846410432,Partial Literal
last hurrah,19044329901750616076771234759862786647836608756000169294220953745982804494488,Figurative
take the cake,88363429041414804274645312745984700970278178199398144147171406334702273129622,Figurative
on top of the world,79381386545872037154211280269405217059358177386329902294071656027958916414552,Figurative
free rein,39380374826215960274886259171589305757135531040273403514488311731988272376489,Partial Literal
all dressed up and nowhere to go,49047137224902483021424059954893992925326407535663971906341421818972286600176,Literal
chew the cud,54483451518671684272843872665530978708149891513645313637135587325829977574044,Figurative
chew the cud,19473834901648799807610885294620115696382626633255231697976442840106648219763,Figurative
get under someone's skin,32580750004735185170877901282021116257529905772438716906684863873139006749841,Random
on edge,69619049873181590698955869122758744734719297029435358515423349815814965115303,Figurative
pop the question,113813026021373596363365530852536813131182445385387183506750739816202793515541,Figurative
move the goalposts,9044978295834440113654058616339462935975710023494645753791101105929641766142,Partial Literal
take a hike,91669684153979800974237611015253718844180647574511583071018964904379048089172,Figurative+Literal
fall into place,88380596754503958576171716999434166870885659174754814560989846406399222911040,Random
hold your horses,106482539350266190878702583023536729635299603695291115088402955154982207390458,Literal
make ends meet,109083743078401165458570253342543596604559040348427409256385353426657715270188,Figurative
from stem to stern,40093138710164279626050668091974957377445007687676962671208550691606610958079,Figurative
take a dive,57082757183065052976079698083355704027678519374295524498155600960576602213386,Figurative
take root,113205715520228977379247883837905255761532070450697491585717326771350166939381,Literal
pick holes,40775837622118919445361671246634665833737407213773351532367458923460437463700,Random
call someone's bluff,114812014815451721067847026146102474035300685924412204621852213560052648455394,Figurative
in the same breath,102963432203652670326195791535685147414993893723761295839326232154059607015674,Random
hold the line,66591906755102246851996754379475652124783661914201197395060273884152069958324,Random
for my money,54840200911825112098684519591688084068860169460363882400384956265961902738470,Random
fall into place,60954519556231902986611265552775917210672772248886552272571775799939282957054,Random
on the back burner,69031914579372788286427015814019426950068373164057929142890730313596253623091,Literal
take a dive,26214976287327517253853613675023810437280949162789267999741116622578908843463,Figurative
bark up the wrong tree,97195352609210730617675070489474500173829679938134922865818564851785020760467,Random
kill the fatted calf,114733772837163382517050794255286050564302151211122055196658531773335053585531,Random
rub someone the wrong way,112460770462213620045374433140284400650681836965748824397240329676017229001931,Figurative
up a tree,88143807787921724213357640276382648457001962629837746980948396965648626465141,Figurative
fill someone's shoes,58739617754747548354899237293960297250380336800602923781912658176784903061507,Partial Literal
grist to the mill,4443448638138774725378395402955406799409739445167660714056083690113220235777,Random
catch someone's eye,63480392926590102903488034845407653038215712576316516189029280575356590415868,Partial Literal
kick the bucket,80188709224810215739615994857116882959371899299898145885435244341077891590886,Figurative
on the money,61017673754326043218897573727933253662256036746006922182984686550658049745541,Figurative
bite the big one,21761429723090843900975712694844808635435802364839996110135049181102065429464,Random
go down the pan,78032298191807238914558709984681443311728480826057885363397672215974797318006,Random
fit the bill,6201721610587996805021550325599501656168970132252209622197213821810677226855,Figurative
in the swim,108634085598010081842004567593626231651748176255631644055463851774263362281850,Literal
look the other way,95000486063158612145496044634721374677326455811783736604627407647541741521590,Figurative
horses for courses,11100755540567213696851962506993003920843876854256063355600674965668073018636,Partial Literal
put the moves on,73442541647984791563306967644610266102346261760594607752506465719158346313703,Figurative
burn rubber,20592321615405000951146710173626569280558045650718914563401216141055412129191,Random
on board,14557130756508772612319221143560994838391576027938361902373335831426960931089,Figurative
put the moves on,94128659169164579655068695452443856453486546905795839849029307660733096025772,Random
chew the cud,42204952116359998765535829356189680306682808872790129240301282371691460629497,Figurative
one-horse race,20207718014303012848029439994899141866606539695289291588938677602236592079378,Random
straight from the shoulder,103660167282890095838314814083409518547109362606986133415993823049203977103003,Partial Literal
roll with the punches,96444962495464798478529103315845346121879624775689592360082920276046277194601,Random
throw your hat in the ring,84621056003764532696623837650318253271529808385357463647140732112417888724981,Figurative
in the wink of an eye,100310153934490489103469419824026082219077959568134278905151818865080676086941,Figurative
word of mouth,88213470193866210931962166687501296795803790316607343578771752737153616290637,Figurative+Literal
seeing is believing,30528110147240783506459048149547559443528069425391023003760058819152378575573,Random
paint the town red,114188108624063177168056398830168303587625545734461647984134173527428643860032,Figurative
take a hike,53865791491277138716288226806013444179185392817718375266573100806175714899449,Figurative
all wet,50800921243208447198167587045384300041495811349785271617446645775477999036465,Random
look the other way,21681916417988176237053211453437907585655510882778517483443147235839438846814,Figurative+Literal
catch someone's eye,83775246894863206780419165008262658103569835141903415074617791551507315761504,Random
brass monkey,13999251449438194192995885051733012191904195648936723397294732477161601180463,Literal
lock horns,27870902355720910872542368625775018198603970188119996826028236292127824594498,Figurative+Literal
under a cloud,17980902805652694410385326737809856379965090889058008149772830908309653626377,Figurative
out of the box,1100548308100655397040118636372811402033221912038235693909016913281860555510,Figurative
pick up the tab,44334847510512352883708769780633001734584788182196753786104515194945178570806,Figurative+Literal
up to here,108635795312810368690960462328380165483030638440831244400486130346913349403076,Random
kick the habit,24267416688095687804383172298709198586117147748683622195604923100134830722426,Random
fun and games,112182361427368461253000311870354656814234922576225988120261342883689025607746,Figurative
mutton dressed as lamb,60340539363859533440003000972016661764511814538496699988773074657333205321008,Random
in business,29953423172141181481455362104001572937854869938072158735188669074150960074753,Random
beat the clock,26679589037488911262004406685061722468298278913389699280811509479386220440161,Figurative
take liberties,41561491940498014499888400569916750968211292591300513158459559321187766489764,Figurative
keep your head,8845546706488370074029232742274279491927487338726008691204694910819923980594,Figurative+Literal
curry favour,40242370811332854625485324637524403488632186496650007623907238886932235179431,Random
beyond the pale,82546317449612530123472025381742877682216279475667014270886608082501830305859,Figurative
on the cards,10041843964563896453044291409274261695827413422586321477607552266874068663075,Random
pull strings,89770624111336631461825068207140730759991584872865399573712311793971241730892,Literal
hit someone for six,96775245443853830484366321752074969522025438676542026827240324359071038140014,Figurative
foam at the mouth,33388593596727033789465547298510284794951083372915086227785502212203998385551,Figurative+Literal
out of pocket,90832781722330853623423801720458978503721155406405987118994232665652839609119,Figurative+Literal
on the ropes,45464527738963788348211278690606770506567347269530452802372756335437571308162,Figurative
second childhood,103335247015380534707349277144808940347406190016868608578355162850332711606079,Figurative
all wet,23732248461573575948083664702811821035206171467374308454935491992190270832501,Literal
get a rise out of,115237418312648435508283406233491793167694710285699997751358201462847240305402,Random
pull strings,88121410403888186774084165218893420338682897079969079103152121044214205741629,Literal
sitting pretty,42727469078812866002304551559730807849313651599460997750460517026439342747109,Literal
